CU,SpeciesId,CU_Name,Year,T_Idx_E,ExpFactor1,AdjSum,ExpFactor2,ObsE,ExpFactor3,TE,CDN Harvest,CDN ER,TRTC,Total Harvest,Total ER,Total Run,Q1,Q2,Q3,ER Indicator,ER Indicator Lookup,ER Source,StatArea
SX_L-21-05,SX,Kitwancool,2012,5476,1.00,5476,1.00,5476,1.00,5476,1869,0.240,7345,2296,0.295,7772,5.00,5.00,5.00,Kitwanga,[LOOKUP CU],Sockeye Model,04
SX_L-21-05,SX,Kitwancool,2013,828,1.00,828,1.00,828,1.00,828,86,0.088,914,147,0.151,975,5.00,5.00,5.00,Kitwanga,[LOOKUP CU],Sockeye Model,04
SX_L-21-05,SX,Kitwancool,2014,13699,1.00,13699,1.00,13699,1.00,13699,2614,0.128,16313,6803,0.332,20502,5.00,5.00,5.00,Kitwanga,[LOOKUP CU],Sockeye Model,04
SX_L-21-05,SX,Kitwancool,2015,4636,1.00,4636,1.00,4636,1.00,4636,406,0.066,5042,1500,0.244,6136,5.00,5.00,5.00,Kitwanga,[LOOKUP CU],Sockeye Model,04
SX_L-21-05,SX,Kitwancool,2016,1100,1.00,1100,1.00,1100,1.00,1100,262,0.148,1362,676,0.381,1776,5.00,5.00,5.00,Kitwanga,[LOOKUP CU],Sockeye Model,04
SX_L-21-05,SX,Kitwancool,2017,357,1.00,357,1.00,357,1.00,357,11,0.026,368,58,0.139,415,5.00,5.00,5.00,Kitwanga,[LOOKUP CU],Sockeye Model,04
SX_L-21-05,SX,Kitwancool,2018,1434,1.00,1434,1.00,1434,1.00,1434,146,0.084,1580,305,0.175,1739,5.00,5.00,5.00,Kitwanga,[LOOKUP CU],Sockeye Model,04
SX_L-21-05,SX,Kitwancool,2019,125,1.00,125,1.00,125,1.00,125,11,0.058,136,57,0.314,182,5.00,5.00,5.00,Kitwanga,[LOOKUP CU],Sockeye Model,04
SX_L-21-05,SX,Kitwancool,2020,435,1.00,435,1.00,435,1.00,435,31,0.057,466,100,0.187,535,5.00,5.00,5.00,Kitwanga,[LOOKUP CU],Sockeye Model,04
SX_L-21-05,SX,Kitwancool,2021,290,1.00,290,1.00,290,1.00,290,18,0.036,308,228,0.440,518,5.00,5.00,5.00,Kitwanga,[LOOKUP CU],Sockeye Model,04
SX_L-21-05,SX,Kitwancool,2022,1437,1.00,1437,1.00,1437,1.00,1437,290,0.144,1727,586,0.290,2023,5.00,5.00,5.00,Kitwanga,[LOOKUP CU],Sockeye Model,04
SX_L-21-05,SX,Kitwancool,2023,1188,1.00,1188,1.00,1188,1.00,1188,176,0.108,1364,439,0.270,1627,5.00,5.00,5.00,Kitwanga,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1954,,,,,,,,,,,,,,,,,,,,04
SX_L-21-07,SX,Morice,1955,,,,,,,,,,,,,,,,,,,,04
SX_L-21-07,SX,Morice,1956,,,,,,,,,,,,,,,,,,,,04
SX_L-21-07,SX,Morice,1957,,,,,,,,,,,,,,,,,,,,04
SX_L-21-07,SX,Morice,1958,,,,,,,,,,,,,,,,,,,,04
SX_L-21-07,SX,Morice,1959,,,,,,,,,,,,,,,,,,,,04
SX_L-21-07,SX,Morice,1960,3500,1.00,3500,1.15,4020,1.00,4020,4270,0.446,8290,5556,0.580,9576,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1961,5000,1.00,5000,1.15,5742,1.00,5742,6718,0.529,12461,6969,0.548,12711,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1962,3000,1.00,3000,1.15,3445,1.00,3445,4502,0.524,7948,5150,0.599,8595,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1963,1000,1.00,1000,1.15,1148,1.00,1148,498,0.274,1647,668,0.368,1816,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1964,5000,1.00,5000,1.15,5742,1.00,5742,6807,0.499,12549,7911,0.579,13654,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1965,10000,1.00,10000,1.15,11485,1.00,11485,8202,0.363,19687,11136,0.492,22621,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1966,6000,1.00,6000,1.15,6891,1.00,6891,14003,0.645,20893,14831,0.683,21722,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1967,3400,1.00,3400,1.15,3905,1.00,3905,9947,0.638,13852,11689,0.750,15594,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1968,3000,1.00,3000,1.15,3445,1.00,3445,6343,0.620,9788,6789,0.663,10235,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1969,3300,1.00,3300,1.15,3790,1.00,3790,4106,0.493,7896,4541,0.545,8331,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1970,4700,1.00,4700,1.15,5398,2.00,10796,12588,0.526,23383,13150,0.549,23946,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1971,3300,1.00,3300,1.15,3790,2.00,7580,10775,0.575,18355,11155,0.595,18735,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1972,1800,1.00,1800,1.15,2067,2.00,4135,5843,0.551,9978,6474,0.610,10609,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1973,1000,1.00,1000,1.15,1148,2.00,2297,4577,0.637,6874,4885,0.680,7182,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
SX_L-21-07,SX,Morice,1974,1200,1.00,1200,1.15,1378,2.00,2756,7253,0.692,10010,7718,0.737,10474,2.00,5.00,4.35,Morice+,[LOOKUP CU],Sockeye Model,04
