FISHERY,YEAR,SPECIES,HARVEST
Power Troll Total,1981,JACKS,NA
Power Troll Total,1981,SOCKEYE,NA
Power Troll Total,1981,COHO,NA
Power Troll Total,1981,PINK,NA
Power Troll Total,1981,CHUM,NA
Power Troll Total,1981,TOTAL,NA
Power Troll Traditional,1981,CHINOOK,
Power Troll Traditional,1981,JACKS,
Power Troll Traditional,1981,SOCKEYE,
Power Troll Traditional,1981,COHO,
Power Troll Traditional,1981,PINK,
Power Troll Traditional,1981,CHUM,
Power Troll Traditional,1981,TOTAL,
Power Troll Hatchery Terminal,1981,CHINOOK,NA
Power Troll Hatchery Terminal,1981,JACKS,NA
Power Troll Hatchery Terminal,1981,SOCKEYE,NA
Power Troll Hatchery Terminal,1981,COHO,NA
Power Troll Hatchery Terminal,1981,PINK,NA
Power Troll Hatchery Terminal,1981,CHUM,NA
Power Troll Hatchery Terminal,1981,TOTAL,NA
Power Troll Spring Fishery,1981,CHINOOK,NA
Power Troll Spring Fishery,1981,JACKS,NA
Power Troll Spring Fishery,1981,SOCKEYE,NA
Power Troll Spring Fishery,1981,COHO,NA
Power Troll Spring Fishery,1981,PINK,NA
Power Troll Spring Fishery,1981,CHUM,NA
Power Troll Spring Fishery,1981,TOTAL,NA
Total Annette Island Reservation,1981,CHINOOK,215
Total Annette Island Reservation,1981,JACKS,0
Total Annette Island Reservation,1981,SOCKEYE,26910
Total Annette Island Reservation,1981,COHO,6192
Total Annette Island Reservation,1981,PINK,459203
Total Annette Island Reservation,1981,CHUM,29113
Total Annette Island Reservation,1981,TOTAL,521633
Annette Island Purse Seine,1981,CHINOOK,4
Annette Island Purse Seine,1981,JACKS,0
Annette Island Purse Seine,1981,SOCKEYE,1316
Annette Island Purse Seine,1981,COHO,1100
Annette Island Purse Seine,1981,PINK,245151
Annette Island Purse Seine,1981,CHUM,4747
Annette Island Purse Seine,1981,TOTAL,252318
Annette Island Drift Gillnet,1981,CHINOOK,211
Annette Island Drift Gillnet,1981,JACKS,0
Annette Island Drift Gillnet,1981,SOCKEYE,25594
Annette Island Drift Gillnet,1981,COHO,5092
Annette Island Drift Gillnet,1981,PINK,214052
Annette Island Drift Gillnet,1981,CHUM,24366
Annette Island Drift Gillnet,1981,TOTAL,269315
Total Annette Island Troll,1981,CHINOOK,0
Total Annette Island Troll,1981,JACKS,0
Total Annette Island Troll,1981,SOCKEYE,0
Total Annette Island Troll,1981,COHO,0
Total Annette Island Troll,1981,PINK,0
Total Annette Island Troll,1981,CHUM,0
Total Annette Island Troll,1981,TOTAL,0
Annette Island Hand Troll,1981,CHINOOK,0
Annette Island Hand Troll,1981,JACKS,0
Annette Island Hand Troll,1981,SOCKEYE,0
Annette Island Hand Troll,1981,COHO,0
Annette Island Hand Troll,1981,PINK,0
Annette Island Hand Troll,1981,CHUM,0
Annette Island Hand Troll,1981,TOTAL,0
Annette Island Power Troll,1981,CHINOOK,0
Annette Island Power Troll,1981,JACKS,0
Annette Island Power Troll,1981,SOCKEYE,0
Annette Island Power Troll,1981,COHO,0
Annette Island Power Troll,1981,PINK,0
Annette Island Power Troll,1981,CHUM,0
Annette Island Power Troll,1981,TOTAL,0
Hatchery Cost Recovery,1981,CHINOOK,0
Hatchery Cost Recovery,1981,JACKS,0
Hatchery Cost Recovery,1981,SOCKEYE,1
Hatchery Cost Recovery,1981,COHO,5003
Hatchery Cost Recovery,1981,PINK,132744
Hatchery Cost Recovery,1981,CHUM,1
Hatchery Cost Recovery,1981,TOTAL,137749
Miscellaneous,1981,CHINOOK,746
Miscellaneous,1981,JACKS,0
Miscellaneous,1981,SOCKEYE,144
Miscellaneous,1981,COHO,548
Miscellaneous,1981,PINK,4653
Miscellaneous,1981,CHUM,253
Miscellaneous,1981,TOTAL,6344
Southern Totals,1981,CHINOOK,42063
Southern Totals,1981,JACKS,0
Southern Totals,1981,SOCKEYE,711573
Southern Totals,1981,COHO,372748
Southern Totals,1981,PINK,13374194
Southern Totals,1981,CHUM,342539
Southern Totals,1981,TOTAL,14843117
Northern Totals,1981,CHINOOK,140716
Northern Totals,1981,JACKS,0
Northern Totals,1981,SOCKEYE,205477
Northern Totals,1981,COHO,730712
Northern Totals,1981,PINK,4994306
Northern Totals,1981,CHUM,554790
Northern Totals,1981,TOTAL,6626001
Yakutat,1981,CHINOOK,6234
Yakutat,1981,JACKS,0
Yakutat,1981,SOCKEYE,149334
Yakutat,1981,COHO,146152
Yakutat,1981,PINK,133768
Yakutat,1981,CHUM,10663
Yakutat,1981,TOTAL,446151
Region Totals,1981,CHINOOK,189013
Region Totals,1981,JACKS,0
Region Totals,1981,SOCKEYE,1066384
Region Totals,1981,COHO,1249612
Region Totals,1981,PINK,18502268
Region Totals,1981,CHUM,907992
Region Totals,1981,TOTAL,21915269
Total Purse Seine,1982,CHINOOK,30529
Total Purse Seine,1982,JACKS,0
Total Purse Seine,1982,SOCKEYE,445385
Total Purse Seine,1982,COHO,397349
Total Purse Seine,1982,PINK,22048891
Total Purse Seine,1982,CHUM,828444
Total Purse Seine,1982,TOTAL,23750598
Southern Purse Seine Total,1982,CHINOOK,26886
Southern Purse Seine Total,1982,JACKS,0
Southern Purse Seine Total,1982,SOCKEYE,378245
Southern Purse Seine Total,1982,COHO,288397
Southern Purse Seine Total,1982,PINK,11330519
Southern Purse Seine Total,1982,CHUM,666437
Southern Purse Seine Total,1982,TOTAL,12690484
Southern Purse Seine Traditional,1982,CHINOOK,26886
Southern Purse Seine Traditional,1982,JACKS,0
Southern Purse Seine Traditional,1982,SOCKEYE,378245
Southern Purse Seine Traditional,1982,COHO,288397
Southern Purse Seine Traditional,1982,PINK,11330519
Southern Purse Seine Traditional,1982,CHUM,666437
Southern Purse Seine Traditional,1982,TOTAL,12690484
Southern Purse Seine Hatchery Terminal,1982,CHINOOK,0
Southern Purse Seine Hatchery Terminal,1982,JACKS,0
Southern Purse Seine Hatchery Terminal,1982,SOCKEYE,0
Southern Purse Seine Hatchery Terminal,1982,COHO,0
Southern Purse Seine Hatchery Terminal,1982,PINK,0
Southern Purse Seine Hatchery Terminal,1982,CHUM,0
Southern Purse Seine Hatchery Terminal,1982,TOTAL,0
Northern Purse Seine Total,1982,CHINOOK,3643
Northern Purse Seine Total,1982,JACKS,0
Northern Purse Seine Total,1982,SOCKEYE,67140
Northern Purse Seine Total,1982,COHO,108952
Northern Purse Seine Total,1982,PINK,10718372
Northern Purse Seine Total,1982,CHUM,162007
Northern Purse Seine Total,1982,TOTAL,11060114
Northern Purse Seine Traditional,1982,CHINOOK,3643
Northern Purse Seine Traditional,1982,JACKS,0
Northern Purse Seine Traditional,1982,SOCKEYE,67140
Northern Purse Seine Traditional,1982,COHO,108952
Northern Purse Seine Traditional,1982,PINK,10718372
